candidate,single_score,with_base_set,improvement,best_pair_with,best_pair_score
bar5s_setup_obi0_start,0.2978723404255319,0.4095744680851064,-0.04255319148936171,bar5s_setup_min_dist_pts,0.4095744680851064
bar5s_depth_above_p1_2_frac_twa,0.4228723404255319,0.4095744680851064,-0.04255319148936171,bar5s_setup_min_dist_pts,0.4095744680851064
bar5s_shape_bid_ct_frac_l03_eob,0.4228723404255319,0.4095744680851064,-0.04255319148936171,bar5s_setup_min_dist_pts,0.4095744680851064
bar5s_shape_ask_ct_frac_l02_eob,0.4228723404255319,0.4095744680851064,-0.04255319148936171,bar5s_setup_min_dist_pts,0.4095744680851064
bar5s_wall_bid_maxz_eob,0.31382978723404253,0.4095744680851064,-0.04255319148936171,bar5s_setup_min_dist_pts,0.4095744680851064
bar5s_lvl_total_size_at_level_eob,0.13829787234042554,0.4095744680851064,-0.04255319148936171,bar5s_setup_min_dist_pts,0.4095744680851064
bar5s_shape_ask_ct_frac_l03_eob,0.32978723404255317,0.4095744680851064,-0.04255319148936171,bar5s_setup_min_dist_pts,0.4095744680851064
rvol_cumul_flow_imbal_dev,0.29521276595744683,0.4095744680851064,-0.04255319148936171,bar5s_setup_min_dist_pts,0.4095744680851064
bar5s_deriv_dbid10_d1_w36,0.4228723404255319,0.40691489361702127,-0.04521276595744683,bar5s_setup_min_dist_pts,0.40691489361702127
bar5s_ladder_bid_gap_max_pts_eob,0.2154255319148936,0.40691489361702127,-0.04521276595744683,bar5s_setup_min_dist_pts,0.40691489361702127
bar5s_deriv_dabove01_d1_w12,0.4228723404255319,0.40691489361702127,-0.04521276595744683,bar5s_setup_min_dist_pts,0.40691489361702127
bar5s_shape_bid_sz_l04_eob,0.13297872340425532,0.40691489361702127,-0.04521276595744683,bar5s_setup_min_dist_pts,0.40691489361702127
bar5s_flow_rem_vol_bid_p1_2_sum,0.2154255319148936,0.40691489361702127,-0.04521276595744683,bar5s_setup_min_dist_pts,0.40691489361702127
rvol_lookback_elevated_bars,0.22872340425531915,0.40691489361702127,-0.04521276595744683,bar5s_setup_min_dist_pts,0.40691489361702127
bar5s_depth_above_p2_3_frac_eob,0.4228723404255319,0.40691489361702127,-0.04521276595744683,bar5s_setup_min_dist_pts,0.40691489361702127
bar5s_shape_ask_sz_frac_l02_eob,0.4228723404255319,0.40691489361702127,-0.04521276595744683,bar5s_setup_min_dist_pts,0.40691489361702127
bar5s_shape_bid_sz_l05_eob,0.2154255319148936,0.40691489361702127,-0.04521276595744683,bar5s_setup_min_dist_pts,0.40691489361702127
bar5s_approach_alignment_eob,0.4228723404255319,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_shape_bid_sz_l03_eob,0.4228723404255319,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_deriv_dask10_d1_w3,0.4228723404255319,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_flow_net_volnorm_ask_p2_3_sum,0.40425531914893614,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_setup_obi10_max,0.3617021276595745,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_approach_is_or_high,0.2154255319148936,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_flow_net_volnorm_ask_p0_1_sum,0.4228723404255319,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
rvol_trade_aggsell_ratio,0.36436170212765956,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_deriv_dist_d1_w36,0.3271276595744681,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_shape_bid_sz_frac_l09_eob,0.3058510638297872,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_setup_dist_range_pts,0.3803191489361702,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_shape_bid_sz_frac_l02_eob,0.2632978723404255,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_shape_ask_sz_l02_eob,0.4228723404255319,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_flow_cnt_modify_bid_p1_2_sum,0.35638297872340424,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_flow_net_volnorm_bid_p2_3_sum,0.39893617021276595,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_shape_bid_sz_frac_l03_eob,0.3617021276595745,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_lvl_depth_above_qty_eob,0.4228723404255319,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_shape_ask_sz_frac_l07_eob,0.30851063829787234,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_shape_ask_ct_frac_l04_eob,0.4228723404255319,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_flow_cnt_add_ask_p2_3_sum,0.3696808510638298,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_flow_net_vol_bid_p2_3_sum,0.31117021276595747,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_deriv_cdi01_d2_w3,0.2978723404255319,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_lvl_flow_toward_net_sum,0.3271276595744681,0.40425531914893614,-0.047872340425531956,bar5s_setup_min_dist_pts,0.40425531914893614
bar5s_cumul_flow_net_ask_p2_3,0.3803191489361702,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_deriv_waskz_d1_w12,0.2898936170212766,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_deriv_obi0_d1_w3,0.19414893617021275,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_shape_ask_sz_frac_l03_eob,0.30851063829787234,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_cumul_flow_net_ask_p1_2,0.29521276595744683,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_deriv_dbelow01_d2_w36,0.4228723404255319,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_flow_net_vol_ask_p2_3_sum,0.29521276595744683,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_shape_bid_sz_frac_l05_eob,0.2154255319148936,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_setup_size_at_level_start,0.2154255319148936,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_approach_is_pm_low,0.3617021276595745,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_lvl_depth_below_qty_eob,0.4228723404255319,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_shape_ask_sz_frac_l04_eob,0.4228723404255319,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_lvl_size_at_level_d1_w3,0.2154255319148936,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_deriv_dist_d1_w12,0.14893617021276595,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_deriv_dist_d2_w72,0.34308510638297873,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_flow_cnt_modify_bid_p0_1_sum,0.3058510638297872,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_setup_obi10_min,0.3537234042553192,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_shape_ask_ct_frac_l06_eob,0.4228723404255319,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
bar5s_deriv_waskz_d1_w3,0.4228723404255319,0.4015957446808511,-0.050531914893617025,bar5s_setup_min_dist_pts,0.4015957446808511
rvol_bid_ask_add_asymmetry,0.14893617021276595,0.39893617021276595,-0.05319148936170215,bar5s_setup_min_dist_pts,0.39893617021276595
bar5s_trade_aggbuy_vol_sum,0.34308510638297873,0.39893617021276595,-0.05319148936170215,bar5s_setup_min_dist_pts,0.39893617021276595
bar5s_shape_bid_sz_frac_l06_eob,0.32978723404255317,0.39893617021276595,-0.05319148936170215,bar5s_setup_min_dist_pts,0.39893617021276595
