Found 429 feature columns.
Feature                                            | Status                         | Min        | Max        | Mean       | % Zeros 
bar5s_shape_bid_ct_frac_l06_eob                    | OK                             | 0.0323     | 0.2308     | 0.0964     | 0.0     
bar5s_shape_bid_ct_frac_l07_eob                    | OK                             | 0.0270     | 0.2308     | 0.0910     | 0.0     
bar5s_shape_bid_ct_frac_l08_eob                    | OK                             | 0.0256     | 0.2308     | 0.0866     | 0.0     
bar5s_shape_bid_ct_frac_l09_eob                    | OK                             | 0.0278     | 0.2308     | 0.0828     | 0.0     
bar5s_shape_ask_ct_frac_l00_eob                    | OK                             | 0.0213     | 0.2727     | 0.0864     | 0.0     
bar5s_shape_ask_ct_frac_l01_eob                    | OK                             | 0.0385     | 0.3200     | 0.1411     | 0.0     
bar5s_shape_ask_ct_frac_l02_eob                    | OK                             | 0.0256     | 0.3448     | 0.1171     | 0.0     
bar5s_shape_ask_ct_frac_l03_eob                    | OK                             | 0.0385     | 0.3214     | 0.1163     | 0.0     
bar5s_shape_ask_ct_frac_l04_eob                    | OK                             | 0.0238     | 0.2500     | 0.1078     | 0.0     
bar5s_shape_ask_ct_frac_l05_eob                    | OK                             | 0.0256     | 0.2143     | 0.1019     | 0.0     
bar5s_shape_ask_ct_frac_l06_eob                    | OK                             | 0.0250     | 0.2857     | 0.0952     | 0.0     
bar5s_shape_ask_ct_frac_l07_eob                    | OK                             | 0.0238     | 0.2414     | 0.0807     | 0.0     
bar5s_shape_ask_ct_frac_l08_eob                    | OK                             | 0.0227     | 0.2667     | 0.0776     | 0.0     
bar5s_shape_ask_ct_frac_l09_eob                    | OK                             | 0.0217     | 0.2143     | 0.0760     | 0.0     
bar5s_flow_add_vol_bid_p0_1_sum                    | OK                             | 0.0000     | 359.0000   | 58.2223    | 0.7     
bar5s_flow_add_vol_bid_p1_2_sum                    | OK                             | 0.0000     | 103.0000   | 4.4278     | 12.0    
bar5s_flow_add_vol_bid_p2_3_sum                    | OK                             | 0.0000     | 42.0000    | 2.5234     | 63.3    
bar5s_flow_add_vol_ask_p0_1_sum                    | OK                             | 0.0000     | 353.0000   | 59.5033    | 0.7     
bar5s_flow_add_vol_ask_p1_2_sum                    | OK                             | 0.0000     | 36.0000    | 4.7631     | 10.2    
bar5s_flow_add_vol_ask_p2_3_sum                    | OK                             | 0.0000     | 44.0000    | 3.3515     | 56.7    
bar5s_flow_rem_vol_bid_p0_1_sum                    | OK                             | 0.0000     | 228.0000   | 51.1306    | 0.6     
bar5s_flow_rem_vol_bid_p1_2_sum                    | OK                             | 0.0000     | 82.0000    | 3.4157     | 17.4    
bar5s_flow_rem_vol_bid_p2_3_sum                    | OK                             | 0.0000     | 40.0000    | 2.1691     | 68.1    
bar5s_flow_rem_vol_ask_p0_1_sum                    | OK                             | 0.0000     | 218.0000   | 52.6281    | 0.7     
bar5s_flow_rem_vol_ask_p1_2_sum                    | OK                             | 0.0000     | 36.0000    | 3.3003     | 15.1    
bar5s_flow_rem_vol_ask_p2_3_sum                    | OK                             | 0.0000     | 50.0000    | 3.2344     | 58.5    
bar5s_flow_net_vol_bid_p0_1_sum                    | OK                             | -25.0000   | 190.0000   | 7.0917     | 4.6     
bar5s_flow_net_vol_bid_p1_2_sum                    | OK                             | -10.0000   | 21.0000    | 1.0121     | 25.9    
bar5s_flow_net_vol_bid_p2_3_sum                    | OK                             | -7.0000    | 18.0000    | 0.3542     | 65.9    
bar5s_flow_net_vol_ask_p0_1_sum                    | OK                             | -27.0000   | 135.0000   | 6.8752     | 4.8     
bar5s_flow_net_vol_ask_p1_2_sum                    | OK                             | -21.0000   | 36.0000    | 1.4628     | 24.3    
bar5s_flow_net_vol_ask_p2_3_sum                    | OK                             | -12.0000   | 26.0000    | 0.1172     | 64.9    
bar5s_flow_cnt_add_bid_p0_1_sum                    | OK                             | 0.0000     | 242.0000   | 51.5749    | 0.8     
bar5s_flow_cnt_add_bid_p1_2_sum                    | OK                             | 0.0000     | 69.0000    | 2.9401     | 19.4    
bar5s_flow_cnt_add_bid_p2_3_sum                    | OK                             | 0.0000     | 26.0000    | 1.2500     | 67.3    
bar5s_flow_cnt_add_ask_p0_1_sum                    | OK                             | 0.0000     | 229.0000   | 52.4882    | 0.8     
bar5s_flow_cnt_add_ask_p1_2_sum                    | OK                             | 0.0000     | 14.0000    | 2.9896     | 16.8    
