config_id,monitor_band,touch_band,outcome_strikes,level_types,score,error
141,5.0,5.0,4,"SMA_200,SMA_400",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
142,5.0,5.0,4,"PM_HIGH,PM_LOW,OR_HIGH,OR_LOW",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
143,5.0,5.0,4,"PM_HIGH,PM_LOW,SMA_200,SMA_400",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
144,5.0,5.0,4,"PM_HIGH,PM_LOW,OR_HIGH,OR_LOW,SMA_200,SMA_400",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
145,7.5,1.0,2,"PM_HIGH,PM_LOW",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
146,7.5,1.0,2,"OR_HIGH,OR_LOW",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
147,7.5,1.0,2,"SMA_200,SMA_400",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
148,7.5,1.0,2,"PM_HIGH,PM_LOW,OR_HIGH,OR_LOW",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
149,7.5,1.0,2,"PM_HIGH,PM_LOW,SMA_200,SMA_400",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
150,7.5,1.0,2,"PM_HIGH,PM_LOW,OR_HIGH,OR_LOW,SMA_200,SMA_400",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
151,7.5,1.0,3,"PM_HIGH,PM_LOW",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
152,7.5,1.0,3,"OR_HIGH,OR_LOW",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
153,7.5,1.0,3,"SMA_200,SMA_400",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
154,7.5,1.0,3,"PM_HIGH,PM_LOW,OR_HIGH,OR_LOW",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
155,7.5,1.0,3,"PM_HIGH,PM_LOW,SMA_200,SMA_400",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
156,7.5,1.0,3,"PM_HIGH,PM_LOW,OR_HIGH,OR_LOW,SMA_200,SMA_400",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
157,7.5,1.0,4,"PM_HIGH,PM_LOW",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
158,7.5,1.0,4,"OR_HIGH,OR_LOW",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
159,7.5,1.0,4,"SMA_200,SMA_400",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
160,7.5,1.0,4,"PM_HIGH,PM_LOW,OR_HIGH,OR_LOW",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
161,7.5,1.0,4,"PM_HIGH,PM_LOW,SMA_200,SMA_400",0.0,run_grid_search.<locals>.MockTrial.suggest_int() got an unexpected keyword argument 'step'
